Complaint#,Code,Invoice,Seq,Order#,Customer,DT Complaint,Amt Claim,Return,Prod Group,Desc,Qty Claim,Close,Dt Approved,Amt Approved,Plant,CSC,Closing Text,SalesRep,ProdType,CCAR CostCenter,ShipTo,Invoice Amt,Sort Code,TX Code,Confirm To
AM00289,M0,VW30335,A1,WV3A030,PAK WEST PAPER & PACKAGING,03/20/2020,0,Y,SW,PREVIOUS STOP UNLOADED 6 EXTRA PLTS - REDELIVER FROM PET'S MART TO PAK WEST,0,*,04/02/2020,0,AMJK,JZU,PAPERWORK FOR RE-DELIVERY ONLY,SWMD,PSB,, PAKWEBE01,12024.68,P742,RS,PAKWESA01
AM00290,P1,UB91501,A1,BU3A647,WALLE CORPORATION,03/20/2020,647.19,N,BP,"Baggy Edges causing creases
Pallet# 4117798",459,*,04/07/2020,647.19,AMJK,YM,AM2019-12001  baggy edges,CFDP,PL,, WALLEWI01,15956.97,W024,RS,WALLEWI01
AM00290,P1,UBA0625,A1,BU8A161,WALLE CORPORATION,03/20/2020,669.79,N,BP,"Baggy edge
Pallet#4169694",532,*,04/07/2020,669.79,AMJK,YM,AM2019-12001  baggy edges,CFDP,VS,, WALLEWI01,19452.81,W024,RS,WALLEWI01
AM00290,P1,UBA0627,A1,BU9A572,WALLE CORPORATION,03/20/2020,1277.38,N,BP,"Baggy in middle of roll, Not touching glue applicator 
Pallet #4170820",1005,*,04/07/2020,1277.38,AMJK,YM,AM2019-12001  baggy edges,CFDP,VS,, WALLEWI01,15015.28,W024,RS,WALLEWI01
AM00290,P1,UBA1715,A1,BUAA766,FORT DEARBORN COMPANY,03/20/2020,1121.58,N,BP,Baggy edge causing curl on both ends ,930,*,04/07/2020,1121.58,AMJK,YM,AM2019-12001  baggy edges,CFDP,VS,, WALLEWI01,24854.45,F255,RS,FORTDEG01
AM00290,P1,UBA1742,A1,BUAA766,FORT DEARBORN COMPANY,03/20/2020,1115.55,N,BP,"Baggy edge, causing down curl.
Pallet# 4176595",925,*,04/07/2020,1115.55,AMJK,YM,AM2019-12001  baggy edges,CFDP,VS,, WALLEWI01,24663.91,F255,RS,FORTDEG01
AM00291,P1,VB21806,A1,BV1A263,PRINTPACK VR2(CONSGT-AMSC)GMI,03/20/2020,325.5,N,BP,amsc- blocking 217 lbs,217,*,05/04/2020,325.5,AMSC,SN,22-207766  - blocking,CFMS,CWS,, PRINTVR25,39168,P043,RS,PRINTVR24
AM00292,P1,VB21073,A1,BUCA506,PRINTPACK VR2(CONSGT-AMSC)GMI,03/20/2020,922,N,BP,amsc- cws15- web break,198,*,05/04/2020,922,AMSC,SN,22-207747  web breaks,CFMS,CWS,, PRINTVR25,14262,P043,RS,PRINTVR24
AM00293,P1,VB20330,A1,BUCA530,KENDALL PACKAGING CORP,03/20/2020,986.55,N,BP,Gauge bands- 690 lbs + 1 hour downtime $300,690,*,04/07/2020,986.55,AMJK,MR,202000093  gauge bands,CFBL,AA,, KENDAJE01,4107.36,K005,RS,KENDAME01
AM00294,P1,UB81467,A1,BU8A224,SIGMA S.A. DE C.V.,03/20/2020,0,N,BP,"Structure delamination - $8417
The translation of the email below essentially states that they found an issue with the inks as the most probable cause and not the SP25. They will cancel the claim and will still require the orders on the books for SP25",0,*,05/14/2020,0,AMJK,PV,: RTX-015-2020 ,AMJO,SP,, SIGMASO01,40123.18,P342,ES,SIGMASO01
AM00295,P1,UB71386,A1,BU6A801,SIGMA S.A. DE C.V.,03/20/2020,124.67,N,BP,Wrinckles and a floppy edge ,0,*,04/20/2020,124.68,AMJK,PV,RTX-016-2020  wrinkles scrap,AMJO,TT,, SIGMASO01,10409.69,P342,ES,SIGMASO01
AM00296,P1,VB21036,A1,BV1A897,"GOLDEN DYNAMIC,INC",03/23/2020,611.04,N,BP,Roll # 21700030 & 21700028 were rejected.  Customer is seeking credit and dispositionrejected rolls,536,*,04/27/2020,611.04,AMSC,LA,#3221/ 3219 rejected rolls scrap,HQLA,SP,, MULTIBO04,43892.28,D230,RS,GOLDEGA02
AM00296,P1,VB21496,A1,BV1A907,"GOLDEN DYNAMIC,INC",03/23/2020,678.3,N,BP,Roll # 21700014 & 11700906 were rejected. Customer is asking credit & disposition rejected rolls.,595,*,04/27/2020,678.3,AMSC,LA,#3221/ 3219 rejected rolls scrap,HQLA,SP,, MULTIBO04,43367.88,D230,RS,GOLDEGA02
AM00297,M1,VW21156,A1,WV2A831,TMV PACKAGING,03/23/2020,0,Y,SW,KEY IN ERROR - WRONG FOOTAGE,0,D,03/27/2020,0,AMAZ,MN,COMPLAINT CANCELLED ,SWDP,ELB,, TMVPAWA01,31947.88,T375,RS,TMVPAWA01
AM00298,P1,UBA1319,A1,BU9A784,"CENTRAL DE EMPAQUES,SOCIEDAD ANONIMA",03/23/2020,1230.85,N,BP,material with uneven surface,1503.76,*,05/01/2020,1230.85,AMJK,PV,3101-16-3481 uneven surface,AMJO,BB,, CENTRGU01,38702.49,C031,ES,CENTRGU01
AM00299,P1,UBA1319,A2,BU9A784,"CENTRAL DE EMPAQUES,SOCIEDAD ANONIMA",03/23/2020,2150.64,N,BP,Material with uneven surface,2410,*,05/01/2020,2150.64,AMJK,PV,3101-16-2810  uneven surface,AMJO,BB,, CENTRGU01,38702.49,C031,ES,CENTRGU01
AM00300,P1,VB11930,A1,BUCA673,3M COMPANY - ACCOUNTS PAYABLE,03/24/2020,1127.06,Y,BP,Film with poor corona treatment in section of roll causing matte coating delamination when converting material. Found issue on 3 of the 6 Cut # 2's from January's make date. 5 of the 6 rolls have already been coated and converted and one film roll is still in inventory (on hold and requesting to return). ,1034,*,05/29/2020,1127.06,AMJK,KS,JLET-BMUSD3  treatment,CFDP,TJ,, 3MCOMHU01,7897.05,M281,RS,3MCOMSP03
AM00300,P1,VB11930,A2,BUCA673,3M COMPANY - ACCOUNTS PAYABLE,04/15/2020,3469.94,N,BP,matte coating delamination - return 1 roll,0,*,05/29/2020,3469.94,AMJK,KS,JLET-BMUSD3  treatment,CFDP,TJ,, 3MCOMHU01,7897.05,M281,RS,3MCOMSP03
AM00302,P1,VB31305,A1,BV2A855,PRINTPACK INC (METALLIZING),03/24/2020,4743.36,Y,BP,"Pallet labels switched. Need to return S000095746 and bill for S00095744
Need to bill pallet S000095744 and show shipped to Printpack.",2987,*,04/01/2020,4743.35,AMSC,DB,labels switched,CFMS,NWP,, PRINTVR21,24210.65,P043,RS,PRINTVR21
