BL_Number,Truck_Appointment_Date,Site,Product_Group,Product_Code,Unit_Freight,Carrier_ID,pallet_count,pick_weight
W61A815,2026-01-27,AMJK,SW,HCB0701201500AM-80,22.56,SAIA-IP,1,1613
W61A819,2026-01-26,AMJK,SW,HTL0801801500AM-48,31.57,SAIA-IP,1,1659
W61A820,2026-01-26,AMJK,SW,ETL0802005000AM-40,22.66,SAIA-IP,2,2560
W61A820,2026-01-26,AMJK,SW,HTL0801801500AM-48,22.66,SAIA-IP,2,3318
W61A828,2026-01-27,AMJK,SW,ETK0802005000AM-40,4.58,DRAKE-AM,1,1280
W61A828,2026-01-27,AMJK,SW,HLP100450450AM-64,4.58,DRAKE-AM,10,10700
W61A828,2026-01-27,AMJK,SW,HTY0801801500AM-48,4.58,DRAKE-AM,1,1659
W61A829,2026-01-26,AMJK,SW,HCB0701801500AM-64,3.01,AAL-AM,3,5805
W61A829,2026-01-26,AMJK,SW,HSB0631801500AM-64,3.01,AAL-AM,15,26130
W61A829,2026-01-26,AMJK,SW,HTK0801801500AM-48,3.01,AAL-AM,2,3318
W61A832,2026-02-03,AMJK,SW,AM1-18.751-EX,2.3,AAL-AM,20,21360
W61A832,2026-02-03,AMJK,SW,AM1-18.759-EX,2.3,AAL-AM,6,6354
W61A836,2026-01-28,AMJK,SW,EHB0551978000AM-40,1.89,AAL-AM,1,1387
W61A836,2026-01-28,AMJK,SW,ELB0801975000AM-40,1.89,AAL-AM,4,5044
W61A836,2026-01-28,AMJK,SW,EPB0701976500AM-40,1.89,AAL-AM,3,4302
