BL_Number,Truck_Appointment_Date,Site,Product_Group,Product_Code,Unit_Freight,Carrier_ID,pallet_count,pick_weight
W61A607,2026-02-09,AMJK,SW,EHB0631976000A390-40,6.05,CAL-AM,30,35730
W61A610,2026-01-22,AMJK,SW,EHB0551978000AM-40,1.93,GILTNER-AM,3,4161
W61A610,2026-01-22,AMJK,SW,EPB0701976500AM-40,1.93,GILTNER-AM,6,8604
W61A610,2026-01-22,AMJK,SW,ETG0802005000AM-40,1.93,GILTNER-AM,1,1280
W61A610,2026-01-22,AMJK,SW,HCB0701801500AM-64,1.93,GILTNER-AM,5,9675
W61A610,2026-01-22,AMJK,SW,HCB0801801500AM-48,1.93,GILTNER-AM,4,6636
W61A610,2026-01-22,AMJK,SW,HCB0901801500AM-48,1.93,GILTNER-AM,2,3732
W61A610,2026-01-22,AMJK,SW,HLP100450450AM-64,1.93,GILTNER-AM,2,2140
W61A612,2026-02-03,AMJK,SW,HCB0801801500AM-48,4.04,SAIA-IP,5,8295
W61A614,2026-02-04,AMJK,SW,HLP115280450AM-80,21.92,CWF-IP,3,2805
W61A623,2026-02-17,AMJK,SW,CHV0803009000W120-12,9.12,CHARGER-AM,7,7259
W61A623,2026-02-17,AMJK,SW,EHB0551978000W120-40,9.12,CHARGER-AM,2,2774
W61A623,2026-02-17,AMJK,SW,ELB0401979000AM-40,9.12,CHARGER-AM,1,1135
W61A623,2026-02-17,AMJK,SW,ELB0451906800W120-50,9.12,CHARGER-AM,4,4652
W61A623,2026-02-17,AMJK,SW,ELB0452006800W120-50,9.12,CHARGER-AM,9,11016
W61A623,2026-02-17,AMJK,SW,ELB0511979000AM-40,9.12,CHARGER-AM,1,1447
W61A623,2026-02-17,AMJK,SW,EXB0502006800W120-50,9.12,CHARGER-AM,1,1360
W61A623,2026-02-17,AMJK,SW,HCB0801401500W120-48,9.12,CHARGER-AM,1,1290
W61A623,2026-02-17,AMJK,SW,HCB0901801500W120-36,9.12,CHARGER-AM,1,1400
W61A623,2026-02-17,AMJK,SW,HLB0471301476W120-48,9.12,CHARGER-AM,1,693
W61A623,2026-02-17,AMJK,SW,HLP150400450W120-64,9.12,CHARGER-AM,1,1400
W61A625,2026-02-04,AMJK,SW,EPB0751975000F426-40,7.99,PDI-AM,20,23640
W61A627,2026-01-20,AMJK,SW,AM1-19739,7.8,PDI-AM,4,4424
W61A627,2026-01-20,AMJK,SW,AM1-19763,7.8,PDI-AM,4,4764
W61A627,2026-01-20,AMJK,SW,EHB0551978000AM-40,7.8,PDI-AM,1,1387
W61A627,2026-01-20,AMJK,SW,EHB0802956000AM-20,7.8,PDI-AM,3,3399
W61A627,2026-01-20,AMJK,SW,EHB1151973500AM-40,7.8,PDI-AM,1,1269
W61A627,2026-01-20,AMJK,SW,ELB0471979000AM-40,7.8,PDI-AM,1,1333
W61A627,2026-01-20,AMJK,SW,EPB0701976000AM-40,7.8,PDI-AM,2,2648
W61A627,2026-01-20,AMJK,SW,EPB1501973000AM-40,7.8,PDI-AM,5,7090
W61A627,2026-01-20,AMJK,SW,HCB0701801500AM-64,7.8,PDI-AM,1,1935
